EventTitle,EventNo,TicketNo,PrizeAmount,CardName,CardCode,CardPosition,Name,DrawDay,DrawMonth,DrawYear
Week 1,1,A-1306321,100,5 of Clubs,fivec,51,Name Name,5,7,2021
Week 2,2,B-1738886,100,7 of Spades,sevens,31,Name Name,12,7,2021
Week 3,3,C-1078815,100,King of Clubs,kingc,13,Name Name,19,7,2021
Week 4,4,D-2559038,100,King of Hearts,kingh,11,Name Name,26,7,2021
Week 5,5,E-1155731,100,2 of Spades,twos,23,Name Name,2,8,2021
Week 6,6,F-2569825,100,4 of Spades,fours,22,Name Name,9,8,2021
Week 7,7,G-1352056,100,3 of Hearts,threeh,27,Name Name,16,8,2021
Week 8,8,H-2086510,100,9 of Diamonds,nined,5,Name Name,24,8,2021
Week 9,9,I-1095245,100,6 of Hearts,sixh,21,Name Name,30,8,2021
Week 10,10,J-1906826,100,9 of Hearts,nineh,19,Name Name,13,8,2021
