EventTitle,EventNo,TicketNo,PrizeTypeId,PrizeTitle,PrizeAmount,Name,DrawDay,DrawMonth,DrawYear
Early Bird,1,Q-6476559,2,$5000,0,,17,12,2022
Grand Prize,1,Q-4395483,1,Jackpot,184500,,3,1,2022
Early Bird,2,R-5321260,2,$5000,0,,21,1,2022
Grand Prize,2,R-2832971,1,Jackpot,74570,,31,1,2022
Early Bird,3,S-4243152,2,$1000,0,,18,2,2022
Grand Prize,3,S-5911923,1,Jackpot,53890,,28,2,2022
Early Bird,4,T-1017098,2,$5000,0,,11,3,2022
Grand Prize,4,T-1017098,1,Jackpot,87895,,4,4,2022
Early Bird,5,U-6734025,2,$5000,0,,14,4,2022
Grand Prize,5,U-6161052,1,Jackpot,56580,,2,5,2022
Early Bird,6,V-3082613,2,$5000,0,,13,5,2022
Grand Prize,6,V-1917595,1,Jackpot,31895,,30,5,2022
Early Bird,7,AA-4369375,2,$1000,0,,24,6,2022
Grand Prize,7,AA-6187426,1,Jackpot,26275,,4,7,2022
Early Bird,8,BB-1709999,2,$1000,0,,22,7,2022
Grand Prize,8,BB-5845737,1,Jackpot,20260,,1,8,2022
Early Bird,9,CC-3805452,2,$1000,0,,19,8,2022
Grand Prize,9,CC-6897779,1,Jackpot,27465,,6,9,2022
Early Bird,10,DD-3492844,2,$1000,0,,23,9,2022
Grand Prize,10,EE-6626481,1,Jackpot,19525,,31,10,2022
