EventTitle,EventNo,TicketNo,PrizeAmount,CardName,CardCode,CardPosition,Name,DrawDay,DrawMonth,DrawYear
Week 1,1,A-1505018,346,8 of Spades,eights,3,-,26,5,2021
Week 2,2,B-1172740,238,3 of Hearts,threeh,14,-,2,6,2021
Week 3,3,C-3888611,158,2 of Hearts,twoh,52,-,9,6,2021
Week 4,4,D-6706220,168,King of Clubs,kingc,45,-,16,6,2021
Week 5,5,E-5210081,228,2 of Spades,twos,25,-,23,6,2021
Week 6,6,F-2896597,148,5 of Spades,fives,32,-,30,6,2021
Week 7,7,G-2858853,110,4 of Spades,fours,10,-,07,7,2021
Week 8,8,H-7501327,142,10 of Spades,tens,22,-,14,7,2021
Week 9,9,I-3075699,258,7 of Hearts,sevenh,19,-,21,7,2021
Week 10,10,J-6884843,224,Queen of Spades,queens,8,-,28,7,2021
Week 11,11,K-5996073,190,9 of Diamonds,nined,21,-,4,8,2021
Week 12,12,L-7284444,310,Ace of Hearts,aceh,39,-,11,8,2021
Week 13,13,M-4101251,218,2 of Clubs,twoc,42,-,18,8,2021
Week 14,14,N-5398270,266,Jack of Diamonds,jackd,43,-,25,8,2021
Week 15,15,0-4155832,282,10 of Hearts,tenh,48,-,1,9,2021
Week 16,16,P-2122951,216,2 of Diamonds,twod,20,-,8,9,2021
Week 17,17,Q-2423984,254,Ace of Diamonds,aced,34,-,15,9,2021
Week 18,18,R-1570624,340,King of Heart,kingh,28,-,22,9,2021
Week 19,19,S-5608274,378,Ace of Clubs,acec,50,-,29,9,2021
Week 20,20,T-4046485,310,3 of Clubs,threec,1,-,6,10,2021
Week 21,21,U-3866554,298,Queen of Clubs,queenc,23,-,13,10,2021
Week 22,22,V-3181182,342,10 of Clubs,tenc,7,-,20,10,2021
Week 23,23,W-5045083,356,Queen of Hearts,queenh,12,-,27,10,2021
Week 24,24,X-2738547,386,4 of Diamonds,fourd,27,-,3,11,2021
Week 25,25,Y-6381150,364,6 of Clubs,sixc,37,-,10,11,2021
Week 26,26,Z-5947361,454,8 of Hearts,eighth,6,-,17,11,2021
Week 27,27,AA-1157704,342,4 of Clubs,fourc,11,-,24,11,2021
Week 28,28,BB-6187570,538,3 of Diamonds,threed,17,-,1,12,2021
Week 29,29,CC-5964178,554,4 of Hearts,fourh,9,-,8,12,2021
Week 30,30,DD-3097362,512,7 of Diamonds,sevend,16,-,15,12,2021
