EventTitle,EventNo,TicketNo,PrizeTypeId,PrizeTitle,PrizeAmount,Name,DrawDay,DrawMonth,DrawYear
Grand Prize,1,A-2635401,1,Jackpot,17205,,13,2,2021
Grand Prize,2,A-7332985,1,Jackpot,8320,,31,3,2021
Grand Prize,3,A-2451629,1,Jackpot,13370,,21,6,2021
Grand Prize,4,A-7621539,1,Jackpot,11145,,30,8,2021
Grand Prize,5,A-2551333,1,Jackpot,8372,,25,10,2021
Grand Prize,6,A-5796542,1,Jackpot,11835,,17,12,2021
Grand Prize,7,A-5172110,1,Jackpot,10330,,5,4,2022
Early Bird,8,A-6331638,2,$250,0,,4,5,2022
Grand Prize,8,A-2229371,1,Jackpot,5202,,18,5,2022
Grand Prize,9,A-9441621,1,Jackpot,5000,,29,6,2022
